base_margin,dapt_margin,aligned_margin
0.07096881,0.101759434,0.37288785
0.0066846013,-0.00481534,0.12886351
0.048076034,0.04647243,0.27448976
0.021589339,0.017254889,0.24027675
0.029701352,0.054783165,0.25484136
-0.0043242574,0.023199022,0.33898032
0.015681267,-0.011299312,0.23846114
0.06570661,0.06054908,0.31828868
0.050862968,0.036842406,0.31194592
0.040317357,0.010461807,0.26518923
0.049949467,0.042612433,0.30550474
0.026494145,0.0077106953,0.281311
0.025940895,0.011767328,0.15356988
0.030743122,0.012549579,0.30532494
0.028546333,0.026212871,0.20322153
0.04477322,0.019081473,0.2795022
0.059094906,0.052254617,0.32250464
0.01655668,0.018671334,0.24717739
0.026956975,0.022425413,0.29504713
0.066765845,0.04137361,0.26848495
0.014874399,0.0035848022,0.19082221
0.011341095,0.002299428,0.27921662
0.0678885,0.02704227,0.27444398
0.057361424,0.035070777,0.30863208
0.0442096,0.06059301,0.31884417
0.08298123,0.06621081,0.34955642
0.059404314,0.014942944,0.27552247
0.006548345,0.02628094,0.25270802
0.05628532,0.039371967,0.32651165
0.051127434,0.031921387,0.24466866
0.06805611,0.03913814,0.3229239
0.04562974,0.030738056,0.2701983
0.07741785,0.039585054,0.32173204
0.07167888,0.06482428,0.3033203
0.0729754,0.042672753,0.34006763
0.06456298,0.054472387,0.34613928
0.06579,0.07231569,0.302105
0.030771077,0.038487673,0.24324459
0.027072728,0.021261036,0.16430968
0.06275123,0.02581203,0.27668732
0.040429175,0.03168243,0.32072246
0.01140672,0.014205575,0.2955613
0.025165379,0.019846916,0.26892257
0.014983356,0.0146410465,0.21182466
0.05510336,0.0674566,0.35139287
0.06152731,0.045432687,0.3131045
0.03407961,0.03901255,0.28110382
0.061810553,0.062502444,0.38851553
